model,threshold,f1,recall,precision,pr_auc,roc_auc
Baseline,0.5,1.0,1.0,1.0,1.0,
Tuned (0.5),0.5,0.36256566683612945,0.635715346902392,0.25360042671724053,0.27788843495096466,0.6740997066217698
Tuned (best F1 grid),0.44999999999999996,0.36283833211411853,0.8105779230426385,0.2337317397078353,0.27788843495096466,0.6740997066217698
