number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
24,0.3547079757443822,2026-01-11 14:30:31.837529,2026-01-11 14:30:42.531448,0 days 00:00:10.693919,0.7939554905432795,0.8406304712265215,0.018147231800339468,5,0.7227874151582759,249,5.291484108043052,0.8971737020932163,COMPLETE
25,0.36367113115457744,2026-01-11 14:30:42.536200,2026-01-11 14:30:51.250028,0 days 00:00:08.713828,0.9029258561416775,1.6109398712531244,0.013357971244184185,4,1.1249105443308136,202,2.4241233866557623,0.9515838788523749,COMPLETE
26,0.34708186605066743,2026-01-11 14:30:51.257746,2026-01-11 14:31:04.555726,0 days 00:00:13.297980,0.9371913074557989,3.232948545193242,0.021074520896567438,4,0.508928965587784,369,3.748116307961503,0.8388780968324437,COMPLETE
27,0.340341036224319,2026-01-11 14:31:04.562007,2026-01-11 14:31:17.286649,0 days 00:00:12.724642,0.8339175191465696,1.836976370738879,0.02809494679531767,5,0.6266034492299437,302,6.2512442456495085,0.7643338956795924,COMPLETE
28,0.3449337736885988,2026-01-11 14:31:17.289990,2026-01-11 14:31:26.153590,0 days 00:00:08.863600,0.8666587089477614,0.3111957909983172,0.03984013466108108,3,0.7809562954151944,245,1.1145468245112895,0.9013368803193352,COMPLETE
29,0.316357576130119,2026-01-11 14:31:26.159960,2026-01-11 14:31:40.730369,0 days 00:00:14.570409,0.6968160315691616,1.4693040468065608,0.10633997747865066,5,1.051995342291339,433,0.17916588841299133,0.9694139196122019,COMPLETE
30,0.3466739383099427,2026-01-11 14:31:40.741657,2026-01-11 14:31:59.401882,0 days 00:00:18.660225,0.9715405515599896,1.0412300328335065,0.01477771405430221,4,1.1147456347774927,571,1.7470485744717938,0.9735888990537205,COMPLETE
31,0.36391128103065246,2026-01-11 14:31:59.415761,2026-01-11 14:32:08.135486,0 days 00:00:08.719725,0.8987303661370621,1.4728454554106196,0.01248740417153862,4,1.1859474466962778,200,2.221115176376634,0.9401674324416666,COMPLETE
32,0.3628338945317989,2026-01-11 14:32:08.139104,2026-01-11 14:32:17.535158,0 days 00:00:09.396054,0.885603824912529,0.7969793695139183,0.01203022238721485,4,1.6814038926170798,231,4.25815737169262,0.9265125046090008,COMPLETE
33,0.36029146355832137,2026-01-11 14:32:17.541239,2026-01-11 14:32:30.206612,0 days 00:00:12.665373,0.8160714908685479,1.35292358979326,0.010042552773090668,5,0.9053275217048031,314,2.5239646448846873,0.9965863834327615,COMPLETE
34,0.35560528222989457,2026-01-11 14:32:30.214991,2026-01-11 14:32:39.729767,0 days 00:00:09.514776,0.9217635668220832,2.2484515310395405,0.018159591011825505,3,0.6370041788645494,274,1.5630583765669075,0.9467848139872698,COMPLETE
35,0.3610619275641579,2026-01-11 14:32:39.735070,2026-01-11 14:32:50.207459,0 days 00:00:10.472389,0.785393664163187,0.2385004167160474,0.015264558786105895,6,0.6011604523711653,200,0.7387917737967705,0.8174677463316881,COMPLETE
36,0.31627573169804113,2026-01-11 14:32:50.211767,2026-01-11 14:33:03.709772,0 days 00:00:13.498005,0.6025764802484737,0.9288528273476302,0.07658207942800199,5,1.2972676955898619,345,4.787473857162664,0.9089433970570293,COMPLETE
37,0.3623436682065837,2026-01-11 14:33:03.714261,2026-01-11 14:33:13.443694,0 days 00:00:09.729433,0.844494526108539,1.3095669131810677,0.01261688689879348,4,0.794737100959257,241,1.2830594264604516,0.9624801815536778,COMPLETE
38,0.3530282249591038,2026-01-11 14:33:13.448349,2026-01-11 14:33:23.659938,0 days 00:00:10.211589,0.8630004288169845,1.8667683830378372,0.019993118560137926,3,0.5879162838213781,289,1.9623519859791034,0.8827704765213599,COMPLETE
39,0.315309393383674,2026-01-11 14:33:23.662611,2026-01-11 14:33:53.958648,0 days 00:00:30.296037,0.9534928571914363,0.5289720621292591,0.0516967584457081,7,1.0294693883927561,671,3.159612175028486,0.7815326505554017,COMPLETE
