strategy,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std
class_weight,0.3816941269421684,0.0015597427788685,0.7199012108906626,0.004777786603778311,0.25969321362163955,0.000907708017030316
smote,0.32520264997089243,0.0013716504389036461,0.3628179290876906,0.0030848721122914524,0.294680633151254,0.002336619694363658
baseline,0.010822795499249934,0.0019706321873268653,0.005467121952304645,0.0010051665386526646,0.5660123421348475,0.07547617830406211
